3
hter,Joules,TNT      
3.4,7943282347.242789,1.8984900447521007       
1.0,1995262.3149688789,0.00047687913837688307       
5.0,1995262314968.8828,476.87913837688404       
9.1,2.818382931264449e+18,673609687.2046962       
9.2,3.981071705534953e+18,951498973.5982201       
9.5,1.1220184543019653e+19,2681688466.3048882       
1.0,1995262.3149688789,0.00047687913837688307       
2.0,63095734.448019296,0.015080242458895625       
3.4,7943282347.242789,1.8984900447521007       
4.0,63095734448.019424,15.080242458895656       
5.0,1995262314968.8828,476.87913837688404       
7.0,1995262314968882.8,476879.13837688405       
99.0,1.995262314968932e+153,4.768791383768958e+143       
33.0,1.9952623149688666e+54,4.768791383768801e+44       
1.0,1995262.3149688789,0.00047687913837688307
